Date,Batch Locations,Gravity,pH,Temperature,ABV,Planned Start Date,Product,Batch,Original Gravity,OG Date
05/24/2024 ,,12.0000,4.9700,69.4000,0.001,05/23/2024 08:00 AM,Irish Stout (7),IST 24069 (Nitro only),12.20,05/23/2024 12:00 PM
05/24/2024 ,,9.2000,4.4500,68.6000,0.0236,05/23/2024 08:00 AM,Jalapeno IPA (7),Mango Hab 24068,13.50,05/23/2024 12:00 PM
05/24/2024 ,BBL12,2.1000,4.5400,0.0000,0.0847,02/15/2024 07:00 AM,Phantom Punch (7),PHP 24021 For BBLs.4,17.50,02/15/2024 12:00 PM
05/24/2024 ,BBL11,2.1000,4.5500,0.0000,0.0847,02/15/2024 07:00 AM,Phantom Punch (7),PHP 24021 For BBLs.3,17.50,02/15/2024 12:00 PM
05/24/2024 ,BBL10,2.4700,4.5700,0.0000,0.0828,02/15/2024 07:00 AM,Phantom Punch (7),PHP 24021 For BBLs.2,17.50,02/15/2024 12:00 PM
05/24/2024 ,BBL 9,0.0000,3.6900,0.0000,0.111,11/23/2022 07:00 AM,Flemish Red,FLM 22167.1,12.70,11/23/2022 12:00 PM
05/24/2024 ,BBL 8,0.0000,3.7100,0.0000,0.1044,11/23/2022 07:00 AM,Flemish Red,FLM 22167.2,12.70,11/23/2022 12:00 PM
05/24/2024 ,BBL 7,0.0000,3.6800,0.0000,0.1093,11/23/2022 07:00 AM,Flemish Red,FLM 22167.3,12.70,11/23/2022 12:00 PM
05/24/2024 ,BBL 6,0.0000,3.7400,0.0000,0.1166,11/23/2022 07:00 AM,Flemish Red,FLM 22167.4,12.70,11/23/2022 12:00 PM
05/24/2024 ,,5.5000,4.3400,69.0000,0.0455,05/20/2024 08:00 AM,Coastal Haze,COHZ 24066,13.90,05/20/2024 12:00 PM
05/24/2024 ,,3.1000,4.4500,68.1000,0.0624,05/21/2024 08:00 AM,Stowaway IPA 2.0,IPA 24067,14.66,05/21/2024 12:00 PM
05/24/2024 ,,2.8000,4.3500,63.4000,0.0449,05/15/2024 08:00 AM,Staycationland,STAY 24064,11.14,05/15/2024 12:00 PM
05/23/2024 ,,12.2000,0.0000,0.0000,0.00,05/23/2024 08:00 AM,Irish Stout (7),IST 24069 (Nitro only),12.20,05/23/2024 12:00 PM
05/23/2024 ,,13.5000,0.0000,0.0000,0.00,05/23/2024 08:00 AM,Jalapeno IPA (7),Mango Hab 24068,13.50,05/23/2024 12:00 PM
05/23/2024 ,,2.9600,0.0000,0.0000,0.0664,05/07/2024 08:00 AM,Stowaway IPA 2.0,IPA 24061.3,14.85,05/07/2024 12:00 PM
05/23/2024 ,,14.8500,0.0000,0.0000,0.00,05/07/2024 08:00 AM,Stowaway IPA 2.0,IPA 24061.3,14.85,05/07/2024 12:00 PM
05/23/2024 ,,14.8500,0.0000,0.0000,0.00,05/07/2024 08:00 AM,Stowaway IPA 2.0,IPA 24061.2,14.85,05/07/2024 12:00 PM
05/23/2024 ,,2.9600,0.0000,0.0000,0.0664,05/07/2024 08:00 AM,Stowaway IPA 2.0,IPA 24061.2,14.85,05/07/2024 12:00 PM
05/23/2024 ,,2.5600,3.9400,0.0000,0.0421,05/16/2024 08:00 AM,Sea Shandy (7),SEA 24065,10.50,05/16/2024 12:00 PM
05/23/2024 ,,3.0000,4.3400,62.2000,0.0439,05/15/2024 08:00 AM,Staycationland,STAY 24064,11.14,05/15/2024 12:00 PM
05/23/2024 ,,3.2000,3.9200,64.0000,0.0388,05/16/2024 08:00 AM,Sea Shandy (7),SEA 24065,10.50,05/16/2024 12:00 PM
05/23/2024 ,,6.5000,4.3800,71.7000,0.0402,05/20/2024 08:00 AM,Coastal Haze,COHZ 24066,13.90,05/20/2024 12:00 PM
